Name,GamesPlayed,ConfRecord,TotalRecord,OffEff,DefEff,Turnovers,ForcedTurnovers,2PFGOff,2PFGDef,3PFGOff,3PFGDef,FTOff,FTDef
DePaul,31,1_17,7_24,102.1,105.6,19.4,22.1,47.1,54.6,31.4,35.0,33.3,39.4
Mercer,32,11_9,14_18,99.6,103.0,20.3,22.3,46.6,50.0,32.9,32.4,44.0,47.6
Wyoming,29,3_13,8_21,97.8,101.5,21.1,21.6,49.3,50.5,28.0,38.1,41.2,33.5
Siena,31,8_10,13_18,98.2,102.1,20.8,18.8,44.2,48.1,33.4,33.4,33.5,31.2
Appalachian St.,29,10_8,14_15,103.3,107.4,18.6,17.6,50.7,52.7,33.5,34.5,39.2,30.7
Maine,29,9_7,14_15,103.7,107.8,19.7,17.9,50.8,44.9,35.0,37.1,40.5,33.2
Charlotte,30,2_14,10_20,99.5,103.5,21.8,17.1,46.1,50.7,33.3,30.6,37.6,31.7
Illinois St.,31,4_14,12_19,96.4,100.4,21.2,18.4,47.6,46.7,31.0,35.5,33.6,34.6
Houston,28,4_12,10_18,101.1,105.2,23.0,18.9,48.6,47.5,38.1,32.7,41.4,40.0
St. Francis NY,30,10_8,15_15,96.6,100.8,19.7,24.6,45.8,49.5,31.1,32.4,40.1,45.5
Western Kentucky,32,8_8,16_16,99.5,103.9,21.4,20.3,49.1,47.1,31.2,36.3,37.4,31.1
Stony Brook,31,8_8,14_17,92.9,97.1,19.2,21.0,40.3,44.7,33.9,30.8,30.9,34.7
UC Irvine,31,6_10,12_19,101.0,105.8,17.5,19.4,45.8,49.9,34.8,32.9,42.1,40.4
UNC Wilmington,31,7_11,13_18,100.1,104.9,21.7,19.2,47.1,48.1,36.9,34.9,28.7,31.2
Tennessee Tech,30,12_6,17_13,98.7,103.6,22.0,21.0,50.5,48.8,34.3,34.6,43.1,45.5
Arkansas St.,30,11_5,15_15,98.2,103.1,20.2,19.6,46.3,46.5,32.5,35.7,42.7,40.2
Georgia St.,31,6_12,12_19,93.5,98.3,23.0,20.8,45.4,44.5,35.0,33.0,32.8,50.6
Arkansas Little Rock,34,7_9,17_17,99.4,104.6,18.0,20.8,42.4,50.1,39.3,34.0,42.5,45.5
Youngstown St.,28,2_16,7_21,100.1,105.3,17.3,18.6,46.5,49.7,33.4,36.4,29.6,44.0
Brown,27,4_10,10_17,102.2,107.6,17.4,15.4,49.4,50.3,35.0,34.7,35.8,30.2
Elon,28,7_11,11_17,103.6,109.1,18.0,19.5,47.3,50.6,35.4,39.2,38.9,38.5
Louisiana Lafayette,27,11_5,13_14,97.6,102.8,21.8,20.4,46.5,47.5,34.6,34.3,44.2,46.5
Tennessee St.,28,10_8,12_16,100.2,105.6,22.7,20.4,46.5,50.1,37.6,34.0,38.8,35.5
Lafayette,31,6_8,12_19,100.4,105.8,19.7,19.8,47.5,49.7,35.3,35.5,36.5,39.9
Cal St. Northridge,30,9_7,12_18,98.4,103.8,22.6,20.9,47.5,49.5,32.9,33.9,49.0,56.2
North Florida,34,10_10,15_19,98.0,103.5,24.4,21.4,49.3,48.2,33.0,32.2,42.5,39.4
Auburn,30,4_12,10_20,95.3,100.7,21.5,22.8,42.2,49.5,32.1,33.5,39.4,45.5
Albany,32,9_7,16_16,100.4,106.3,20.6,16.8,45.2,46.8,37.7,32.9,29.7,27.8
Hampton,32,10_5,23_9,92.7,98.1,18.0,22.8,44.8,41.0,32.1,31.8,41.3,36.3
VMI,27,10_8,14_13,107.6,114.1,17.0,19.0,51.0,50.9,36.7,34.3,34.3,36.1
Pepperdine,32,5_9,11_21,102.2,108.5,19.6,17.7,46.0,51.5,33.1,37.6,39.7,38.2
Eastern Kentucky,29,9_9,13_16,101.3,108.1,19.3,22.0,48.9,50.3,35.9,37.2,33.6,43.0
Nicholls St.,24,8_8,10_14,95.8,102.3,19.8,24.6,49.2,51.3,32.2,33.7,37.4,46.6
Lamar,26,7_9,9_17,99.1,105.9,20.1,20.0,44.8,49.4,35.0,33.9,39.8,43.8
Holy Cross,29,7_7,8_21,99.5,106.5,20.1,15.3,48.5,47.3,32.6,33.7,35.7,33.7
Bowling Green,32,8_8,13_19,96.3,103.1,20.4,22.7,48.2,49.9,29.3,35.2,30.7,38.6
Wake Forest,32,1_15,8_24,98.9,105.9,21.8,17.4,45.1,49.3,35.9,37.0,38.4,32.4
Wagner,30,9_9,13_17,97.8,104.9,22.2,22.2,46.8,45.4,37.1,35.4,41.2,62.2
Southern Utah,28,7_11,10_18,99.6,106.8,23.3,19.1,49.6,49.5,35.2,37.0,46.6,50.4
UC Davis,28,4_12,8_20,101.4,109.1,20.2,19.4,50.8,51.7,37.5,34.7,34.5,40.6
Morgan St.,31,10_6,17_14,93.1,100.2,22.2,21.1,46.0,47.3,29.6,32.1,45.4,43.9
Utah Valley,26,11_1,15_11,98.5,106.1,19.8,17.2,47.4,47.4,35.1,35.1,46.4,36.7
Illinois Chicago,30,2_16,6_24,95.2,102.6,24.3,17.9,46.3,48.9,30.9,36.4,30.7,35.4
Winthrop,28,9_9,11_17,93.9,101.2,18.8,21.1,44.6,46.3,30.2,34.4,36.6,39.4
Charleston Southern,28,9_9,12_16,99.7,107.5,21.3,21.4,46.1,50.9,35.0,34.0,32.8,36.9
Texas St.,29,10_6,14_15,98.5,106.4,19.4,21.9,49.5,52.0,32.6,33.7,44.9,44.0
Seattle,31,1_0,11_20,92.6,100.1,23.4,23.6,44.2,50.9,30.3,34.4,35.8,46.8
Eastern Washington,28,7_9,8_20,98.4,106.4,20.4,19.3,41.9,48.9,36.0,34.9,36.5,46.7
Cal St. Fullerton,30,7_9,10_20,103.4,112.0,20.8,18.9,48.2,50.2,36.7,37.0,42.1,44.0
Campbell,30,6_14,11_19,96.3,104.4,22.0,22.2,47.6,45.8,34.9,37.6,41.3,51.3
Southeastern Louisiana,26,9_7,12_14,98.2,106.5,19.3,20.6,46.1,49.8,32.1,36.4,37.4,40.8
Louisiana Tech,31,2_14,11_20,92.3,100.2,24.4,19.7,46.1,48.8,32.9,32.9,36.3,42.8
Liberty,29,13_5,16_13,95.6,103.9,22.8,20.3,46.5,49.1,32.3,33.4,35.7,35.3
