Name_LowerRank,GamesPlayed_LowerRank,ConfRecord_LowerRank,TotalRecord_LowerRank,OffEff_LowerRank,DefEff_LowerRank,Turnovers_LowerRank,ForcedTurnovers_LowerRank,2PFGOff_LowerRank,2PFGDef_LowerRank,3PFGOff_LowerRank,3PFGDef_LowerRank,FTOff_LowerRank,FTDef_LowerRank,Rank_LowerRank,Name_HigherRank,GamesPlayed_HigherRank,ConfRecord_HigherRank,TotalRecord_HigherRank,OffEff_HigherRank,DefEff_HigherRank,Turnovers_HigherRank,ForcedTurnovers_HigherRank,2PFGOff_HigherRank,2PFGDef_HigherRank,3PFGOff_HigherRank,3PFGDef_HigherRank,FTOff_HigherRank,FTDef_HigherRank,Rank_HigherRank,Results_HigherRank,Differntial,Score,PlusMinus_HigherRank
Pittsburgh,33,4_14,16_17,112.7,101.2,17.6,14.3,49.6,50.2,36.1,35.6,39.4,26.6,70,North Carolina,39,14_4,33_7,121.0,91.5,16.2,18.6,51.0,46.3,35.5,33.9,34.3,31.6,2,W,18, 85_67 ,7.0
Virginia,34,11_7,23_11,111.8,86.9,15.6,20.7,49.7,45.1,38.5,31.7,26.0,33.8,7,North Carolina,39,14_4,33_7,121.0,91.5,16.2,18.6,51.0,46.3,35.5,33.9,34.3,31.6,2,L,-10, 53_43 ,-3.8
Duke,37,11_7,28_9,122.1,95.6,16.3,17.3,53.5,48.9,37.9,29.3,39.3,31.2,10,North Carolina,39,14_4,33_7,121.0,91.5,16.2,18.6,51.0,46.3,35.5,33.9,34.3,31.6,2,W,7, 90_83 ,1.0
Miami FL,33,10_8,21_12,110.8,93.1,19.5,18.3,49.8,46.6,35.6,33.0,34.3,28.7,33,North Carolina,39,14_4,33_7,121.0,91.5,16.2,18.6,51.0,46.3,35.5,33.9,34.3,31.6,2,W,25, 78_53 ,7.2
Duke,37,11_7,28_9,122.1,95.6,16.3,17.3,53.5,48.9,37.9,29.3,39.3,31.2,10,North Carolina,39,14_4,33_7,121.0,91.5,16.2,18.6,51.0,46.3,35.5,33.9,34.3,31.6,2,L,-10, 93_83 ,4.0
Texas Southern,35,16_2,23_12,100.6,106.5,16.6,19.2,50.0,49.3,29.6,32.5,44.3,32.3,226,North Carolina,39,14_4,33_7,121.0,91.5,16.2,18.6,51.0,46.3,35.5,33.9,34.3,31.6,2,W,39, 103_64 ,18.3
Arkansas,36,12_6,26_10,114.9,99.8,16.6,18.5,50.0,46.7,36.5,33.2,38.1,39.1,48,North Carolina,39,14_4,33_7,121.0,91.5,16.2,18.6,51.0,46.3,35.5,33.9,34.3,31.6,2,W,7, 72_65 ,4.7
Butler,34,12_6,25_9,117.7,96.9,15.0,19.6,54.5,51.3,36.6,33.3,37.1,37.0,26,North Carolina,39,14_4,33_7,121.0,91.5,16.2,18.6,51.0,46.3,35.5,33.9,34.3,31.6,2,W,12, 92_80 ,12.5
Kentucky,38,16_2,32_6,118.3,91.3,15.7,19.2,52.9,48.3,35.3,30.6,40.9,33.5,5,North Carolina,39,14_4,33_7,121.0,91.5,16.2,18.6,51.0,46.3,35.5,33.9,34.3,31.6,2,W,2, 75_73 ,3.7
Oregon,38,16_2,33_6,117.8,93.8,17.1,19.3,54.5,46.1,38.0,31.2,34.4,26.3,15,North Carolina,39,14_4,33_7,121.0,91.5,16.2,18.6,51.0,46.3,35.5,33.9,34.3,31.6,2,W,1, 77_76 ,2.5
